,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,32,16,16,.500,-9.14,-6.82,,8,10,,9,6,,6,9,,2359,2279,,71.5,102.3,.309,.350,.549,49.7,55.4,11.3,11.6,.521,17.7,28.0,.217
2,Air Force,31,12,19,.387,-4.31,1.72,,6,12,,9,7,,3,10,,2124,2244,,67.7,100.8,.318,.431,.527,48.7,60.7,9.5,8.1,.490,16.3,27.5,.233
3,Akron,32,14,18,.438,-6.82,-1.92,,6,12,,12,4,,2,10,,2296,2411,,69.0,102.7,.319,.467,.547,49.2,52.7,8.5,7.5,.518,17.3,27.5,.222
4,Alabama A&M,31,3,28,.097,-23.97,-8.04,,3,15,,2,9,,1,18,,1873,2367,,68.2,88.2,.314,.354,.480,48.2,50.5,5.8,3.9,.450,20.9,29.9,.203
5,Alabama-Birmingham,33,20,13,.606,4.90,-0.65,,10,8,,14,3,,5,6,,2536,2303,,69.4,109.8,.291,.334,.575,54.8,59.3,7.7,11.6,.545,16.5,31.2,.218
6,Alabama State,31,8,23,.258,-18.56,-8.62,,8,10,,4,8,,4,13,,2129,2437,,70.5,97.0,.352,.347,.496,47.9,41.7,7.7,11.2,.465,16.9,31.9,.227
7,Alabama NCAA,36,20,16,.556,12.34,10.64,,8,10,,12,4,,2,8,,2604,2543,,70.2,103.0,.419,.355,.550,50.3,50.3,9.0,14.7,.519,17.8,29.4,.281
8,Albany (NY),32,22,10,.688,0.02,-5.40,,10,6,,14,3,,8,7,,2375,2182,,67.3,110.3,.370,.273,.550,55.2,48.3,7.0,7.9,.507,14.7,34.9,.279
9,Alcorn State,32,11,21,.344,-18.07,-8.60,,7,11,,9,5,,2,16,,2244,2388,,70.4,99.2,.328,.382,.532,48.4,53.0,8.8,7.7,.499,17.9,27.2,.232
10,American,30,6,24,.200,-14.63,-6.16,,3,15,,4,8,,2,16,,1961,2215,,67.3,96.7,.304,.439,.531,45.1,52.6,10.7,9.1,.506,18.3,23.7,.202
11,Appalachian State,33,15,18,.455,-4.83,-2.67,,9,9,,9,4,,4,11,,2520,2448,,72.0,104.6,.378,.433,.539,52.3,47.6,8.2,8.9,.509,16.3,30.8,.252
12,Arizona State NCAA,32,20,12,.625,14.37,6.55,,8,10,,13,4,,4,6,,2645,2395,,72.2,113.6,.413,.413,.576,49.0,51.6,9.0,9.9,.538,13.0,27.9,.303
13,Arizona NCAA,35,27,8,.771,15.67,6.84,,14,4,,15,1,,8,3,,2818,2509,,68.6,115.6,.370,.321,.598,55.6,52.6,7.1,12.0,.563,15.3,33.3,.281
14,Little Rock,32,7,25,.219,-10.45,-2.22,,4,14,,5,10,,2,14,,2038,2242,,66.6,94.2,.315,.355,.505,49.1,52.1,7.4,9.5,.484,18.5,28.9,.192
15,Arkansas-Pine Bluff,35,14,21,.400,-14.84,-9.36,,12,6,,7,3,,6,13,,2307,2499,,68.4,95.7,.366,.354,.528,43.6,52.4,11.4,11.7,.496,18.6,24.0,.247
16,Arkansas State,32,11,21,.344,-9.65,-3.02,,6,12,,7,7,,4,13,,2369,2523,,70.4,104.3,.329,.364,.536,48.6,40.9,9.5,7.9,.502,15.9,30.6,.236
17,Arkansas NCAA,35,23,12,.657,14.76,9.85,,10,8,,15,2,,3,7,,2819,2647,,71.3,111.8,.374,.321,.565,48.9,49.9,8.6,13.8,.538,13.2,28.7,.255
18,Army,30,13,17,.433,-8.62,-7.17,,6,12,,6,5,,4,12,,2230,2223,,71.7,103.3,.243,.418,.542,49.6,61.1,7.9,8.2,.524,16.4,27.1,.160
19,Auburn NCAA,34,26,8,.765,15.97,7.29,,13,5,,15,1,,7,4,,2783,2488,,73.4,111.5,.398,.432,.557,51.7,53.1,10.1,15.2,.508,14.1,32.0,.308
20,Austin Peay,34,19,15,.559,-3.28,-2.50,,12,6,,13,5,,5,9,,2512,2446,,70.1,104.7,.366,.294,.532,52.2,49.5,9.4,8.9,.505,16.8,35.7,.239
21,Ball State,32,19,13,.594,-1.22,-2.00,,10,8,,14,2,,5,10,,2410,2362,,71.1,104.7,.339,.384,.548,51.1,52.9,7.4,8.9,.516,16.1,27.9,.239
