,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,32,16,16,.500,-9.14,-6.82,,8,10,,9,6,,6,9,,2359,2279,,1290,870,1874,.464,213,656,.325,406,579,.701,309,1093,482,260,128,461,671
2,Air Force,31,12,19,.387,-4.31,1.72,,6,12,,9,7,,3,10,,2124,2244,,1245,733,1751,.419,250,755,.331,408,556,.734,302,1014,445,201,78,391,557
3,Akron,32,14,18,.438,-6.82,-1.92,,6,12,,12,4,,2,10,,2296,2411,,1295,793,1824,.435,305,851,.358,405,582,.696,306,1071,418,189,81,440,637
4,Alabama A&M,31,3,28,.097,-23.97,-8.04,,3,15,,2,9,,1,18,,1873,2367,,1245,673,1697,.397,182,601,.303,345,533,.647,335,1046,340,123,49,514,506
5,Alabama-Birmingham,33,20,13,.606,4.90,-0.65,,10,8,,14,3,,5,6,,2536,2303,,1330,945,1937,.488,223,646,.345,423,564,.750,333,1255,560,178,127,437,490
6,Alabama State,31,8,23,.258,-18.56,-8.62,,8,10,,4,8,,4,13,,2129,2437,,1245,751,1839,.408,209,638,.328,418,647,.646,394,1131,313,169,130,437,648
7,Alabama NCAA,36,20,16,.556,12.34,10.64,,8,10,,12,4,,2,8,,2604,2543,,1440,910,1975,.461,229,702,.326,555,828,.670,360,1290,458,228,192,513,676
8,Albany (NY),32,22,10,.688,0.02,-5.40,,10,6,,14,3,,8,7,,2375,2182,,1280,839,1836,.457,184,502,.367,513,680,.754,377,1191,405,150,91,371,528
9,Alcorn State,32,11,21,.344,-18.07,-8.60,,7,11,,9,5,,2,16,,2244,2388,,1285,791,1824,.434,239,697,.343,423,598,.707,305,1104,419,200,85,459,613
10,American,30,6,24,.200,-14.63,-6.16,,3,15,,4,8,,2,16,,1961,2215,,1205,698,1615,.432,239,709,.337,326,491,.664,242,869,367,217,98,413,550
11,Appalachian State,33,15,18,.455,-4.83,-2.67,,9,9,,9,4,,4,11,,2520,2448,,1340,864,1983,.436,292,859,.340,500,749,.668,389,1292,411,198,117,457,627
12,Arizona State NCAA,32,20,12,.625,14.37,6.55,,8,10,,13,4,,4,6,,2645,2395,,1290,888,1920,.463,288,793,.363,581,793,.733,315,1126,458,209,114,343,604
13,Arizona NCAA,35,27,8,.771,15.67,6.84,,14,4,,15,1,,8,3,,2818,2509,,1420,1009,2003,.504,237,642,.369,563,741,.760,353,1277,531,173,158,426,603
14,Little Rock,32,7,25,.219,-10.45,-2.22,,4,14,,5,10,,2,14,,2038,2242,,1300,750,1756,.427,200,623,.321,338,554,.610,322,1089,391,159,93,459,612
15,Arkansas-Pine Bluff,35,14,21,.400,-14.84,-9.36,,12,6,,7,3,,6,13,,2307,2499,,1410,815,1863,.437,217,660,.329,460,681,.675,279,1024,427,275,144,500,684
16,Arkansas State,32,11,21,.344,-9.65,-3.02,,6,12,,7,7,,4,13,,2369,2523,,1290,841,1910,.440,236,695,.340,451,628,.718,359,1072,344,215,95,419,589
17,Arkansas NCAA,35,23,12,.657,14.76,9.85,,10,8,,15,2,,3,7,,2819,2647,,1415,1005,2119,.474,269,681,.395,540,793,.681,351,1208,501,218,163,381,700
18,Army,30,13,17,.433,-8.62,-7.17,,6,12,,6,5,,4,12,,2230,2223,,1205,820,1845,.444,295,771,.383,295,448,.658,302,1073,501,170,83,403,593
19,Auburn NCAA,34,26,8,.765,15.97,7.29,,13,5,,15,1,,7,4,,2783,2488,,1360,906,2102,.431,324,908,.357,647,836,.774,407,1290,481,252,180,411,672
20,Austin Peay,34,19,15,.559,-3.28,-2.50,,12,6,,13,5,,5,9,,2512,2446,,1370,915,2012,.455,202,592,.341,480,737,.651,444,1209,453,225,103,478,671
21,Ball State,32,19,13,.594,-1.22,-2.00,,10,8,,14,2,,5,10,,2410,2362,,1295,856,1895,.452,245,727,.337,453,643,.705,320,1210,453,170,112,423,547
22,Baylor,34,19,15,.559,14.60,9.17,,8,10,,15,5,,2,9,,2571,2369,,1375,941,2007,.469,217,608,.357,470,640,.734,400,1292,516,185,152,463,608
23,Belmont,33,24,9,.727,5.54,-2.88,,15,3,,14,2,,9,6,,2562,2284,,1320,901,1853,.486,378,1005,.376,382,517,.739,258,1133,529,161,82,410,531
24,Bethune-Cookman,32,18,14,.563,-12.19,-12.46,,12,4,,10,3,,8,10,,2621,2543,,1290,903,2039,.443,241,759,.318,575,820,.701,424,1346,501,202,123,507,670
25,Binghamton,31,11,20,.355,-10.27,-6.34,,2,14,,7,7,,3,12,,2147,2181,,1245,787,1775,.443,235,671,.350,338,528,.640,283,1066,376,170,131,381,522
26,Boise State,32,23,9,.719,11.21,3.05,,13,5,,15,1,,6,6,,2502,2210,,1300,878,1903,.461,307,809,.379,439,595,.738,321,1232,427,183,70,433,573
