,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,32,16,16,.500,-9.14,-6.82,,8,10,,9,6,,6,9,,2359,2279,,1290,770,1759,.438,214,657,.326,525,743,.707,313,1107,370,205,91,512,556
2,Air Force,31,12,19,.387,-4.31,1.72,,6,12,,9,7,,3,10,,2124,2244,,1245,781,1686,.463,288,726,.397,394,553,.712,274,1069,447,174,106,436,582
3,Akron,32,14,18,.438,-6.82,-1.92,,6,12,,12,4,,2,10,,2296,2411,,1295,828,1797,.461,257,720,.357,498,689,.723,298,1106,423,202,114,410,554
4,Alabama A&M,31,3,28,.097,-23.97,-8.04,,3,15,,2,9,,1,18,,1873,2367,,1245,881,1844,.478,228,595,.383,377,549,.687,340,1126,460,237,151,353,528
5,Alabama-Birmingham,33,20,13,.606,4.90,-0.65,,10,8,,14,3,,5,6,,2536,2303,,1330,827,1952,.424,292,853,.342,357,513,.696,301,1035,440,232,100,414,555
6,Alabama State,31,8,23,.258,-18.56,-8.62,,8,10,,4,8,,4,13,,2129,2437,,1245,813,1795,.453,238,631,.377,573,836,.685,392,1232,418,207,119,401,590
7,Alabama NCAA,36,20,16,.556,12.34,10.64,,8,10,,12,4,,2,8,,2604,2543,,1440,877,2109,.416,262,799,.328,527,769,.685,414,1277,427,237,134,473,718
8,Albany (NY),32,22,10,.688,0.02,-5.40,,10,6,,14,3,,8,7,,2375,2182,,1280,807,1808,.446,215,654,.329,353,503,.702,261,965,433,176,135,368,634
9,Alcorn State,32,11,21,.344,-18.07,-8.60,,7,11,,9,5,,2,16,,2244,2388,,1285,809,1867,.433,266,766,.347,504,716,.704,363,1179,466,201,99,419,557
10,American,30,6,24,.200,-14.63,-6.16,,3,15,,4,8,,2,16,,1961,2215,,1205,776,1595,.487,199,519,.383,464,650,.714,282,1059,412,208,108,413,499
11,Appalachian State,33,15,18,.455,-4.83,-2.67,,9,9,,9,4,,4,11,,2520,2448,,1340,854,1953,.437,232,641,.362,508,705,.721,304,1177,406,219,104,430,686
12,Arizona State NCAA,32,20,12,.625,14.37,6.55,,8,10,,13,4,,4,6,,2645,2395,,1290,841,1919,.438,262,766,.342,451,628,.718,357,1171,479,172,111,474,688
13,Arizona NCAA,35,27,8,.771,15.67,6.84,,14,4,,15,1,,8,3,,2818,2509,,1420,890,2047,.435,261,729,.358,468,638,.734,310,1018,443,214,92,406,686
14,Little Rock,32,7,25,.219,-10.45,-2.22,,4,14,,5,10,,2,14,,2038,2242,,1300,754,1744,.432,269,761,.353,465,687,.677,336,1130,436,173,115,436,529
15,Arkansas-Pine Bluff,35,14,21,.400,-14.84,-9.36,,12,6,,7,3,,6,13,,2307,2499,,1410,831,1919,.433,227,690,.329,610,858,.711,445,1327,489,274,68,531,609
16,Arkansas State,32,11,21,.344,-9.65,-3.02,,6,12,,7,7,,4,13,,2369,2523,,1290,911,1852,.492,245,642,.382,456,641,.711,318,1133,471,182,113,437,593
17,Arkansas NCAA,35,23,12,.657,14.76,9.85,,10,8,,15,2,,3,7,,2819,2647,,1415,872,2028,.430,301,844,.357,602,828,.727,394,1264,477,167,125,490,680
18,Army,30,13,17,.433,-8.62,-7.17,,6,12,,6,5,,4,12,,2230,2223,,1205,757,1709,.443,251,699,.359,458,640,.716,281,1092,406,200,108,427,467
19,Auburn NCAA,34,26,8,.765,15.97,7.29,,13,5,,15,1,,7,4,,2783,2488,,1360,838,1961,.427,273,777,.351,539,747,.722,341,1207,439,207,111,516,700
20,Austin Peay,34,19,15,.559,-3.28,-2.50,,12,6,,13,5,,5,9,,2512,2446,,1370,845,1821,.464,240,661,.363,516,721,.716,309,1107,408,200,130,549,720
21,Ball State,32,19,13,.594,-1.22,-2.00,,10,8,,14,2,,5,10,,2410,2362,,1295,841,1977,.425,258,715,.361,422,580,.728,335,1160,419,222,113,384,608
22,Baylor,34,19,15,.559,14.60,9.17,,8,10,,15,5,,2,9,,2571,2369,,1375,836,2016,.415,261,774,.337,436,609,.716,367,1091,499,197,142,400,613
23,Belmont,33,24,9,.727,5.54,-2.88,,15,3,,14,2,,9,6,,2562,2284,,1320,836,1943,.430,228,680,.335,384,521,.737,302,1068,380,202,90,382,572
24,Bethune-Cookman,32,18,14,.563,-12.19,-12.46,,12,4,,10,3,,8,10,,2621,2543,,1290,883,2080,.425,231,700,.330,546,780,.700,396,1239,488,213,114,444,674
25,Binghamton,31,11,20,.355,-10.27,-6.34,,2,14,,7,7,,3,12,,2147,2181,,1245,780,1750,.446,235,616,.381,386,545,.708,278,1085,430,177,83,372,495
26,Boise State,32,23,9,.719,11.21,3.05,,13,5,,15,1,,6,6,,2502,2210,,1300,794,1859,.427,223,681,.327,399,551,.724,203,972,407,194,98,380,568
27,Boston College,35,19,16,.543,9.00,7.20,,7,11,,14,3,,2,11,,2673,2610,,1415,938,2109,.445,309,855,.361,425,571,.744,336,1212,483,197,108,435,614
28,Boston University,31,15,16,.484,-8.33,-5.83,,10,8,,6,7,,9,9,,2186,2226,,1240,793,1762,.450,252,711,.354,388,533,.728,303,1041,411,198,93,427,541
29,Bowling Green State,32,16,16,.500,-6.38,-2.88,,7,11,,9,6,,6,9,,2429,2490,,1305,893,1949,.458,261,709,.368,443,614,.721,302,1168,457,200,114,404,653
30,Bradley,33,20,13,.606,2.07,0.35,,9,9,,13,2,,4,9,,2223,2136,,1320,716,1768,.405,243,737,.330,461,627,.735,326,1094,430,209,87,447,627
31,Brigham Young,35,24,11,.686,8.05,1.53,,11,7,,13,3,,7,6,,2600,2372,,1415,878,1955,.449,251,746,.336,365,556,.656,263,1100,454,212,101,444,639
32,Brown,27,11,16,.407,-7.78,-4.67,,4,10,,8,5,,3,11,,2080,2133,,1100,741,1558,.476,205,557,.368,446,631,.707,247,959,366,182,126,388,562
33,Bryant,31,3,28,.097,-18.75,-5.42,,2,16,,1,11,,2,17,,2169,2582,,1245,921,1867,.493,308,760,.405,432,616,.701,354,1236,500,202,132,394,528
34,Bucknell NCAA,35,25,10,.714,4.49,-3.46,,16,2,,15,1,,10,8,,2837,2559,,1420,911,2138,.426,224,677,.331,513,738,.695,360,1240,448,231,116,438,742
35,Buffalo NCAA,36,27,9,.750,7.99,0.25,,15,3,,14,1,,8,5,,3047,2742,,1455,936,2179,.430,239,728,.328,631,860,.734,389,1313,415,207,135,496,657
36,Butler NCAA,35,21,14,.600,16.92,10.55,,9,9,,14,3,,3,7,,2763,2540,,1430,877,1954,.449,274,735,.373,512,689,.743,278,1137,440,179,120,484,586
37,Cal Poly,31,9,22,.290,-11.56,-1.83,,4,12,,7,6,,1,13,,2082,2302,,1270,816,1790,.456,228,594,.384,442,593,.745,307,1143,448,182,111,347,491
38,Cal State Bakersfield,30,12,18,.400,-6.58,-0.73,,5,9,,8,4,,3,12,,1981,2068,,1200,679,1597,.425,244,693,.352,466,664,.702,291,1009,392,180,82,407,576
39,Cal State Fullerton NCAA,32,20,12,.625,-0.93,-1.03,,10,6,,9,4,,7,7,,2318,2245,,1290,768,1861,.413,220,635,.346,489,647,.756,320,1074,396,180,114,413,627
40,Cal State Northridge,30,6,24,.200,-13.50,-3.53,,3,13,,4,9,,2,13,,1983,2206,,1215,801,1726,.464,194,544,.357,410,567,.723,323,1104,428,176,110,333,487
41,UC-Davis,33,22,11,.667,0.87,-1.84,,12,4,,10,2,,9,7,,2388,2241,,1360,768,1806,.425,221,683,.324,484,658,.736,330,1134,419,207,113,506,664
42,UC-Irvine,35,18,17,.514,-0.22,-0.34,,11,5,,7,5,,7,10,,2440,2350,,1410,781,2006,.389,229,699,.328,559,803,.696,332,1180,398,190,96,367,605
43,UC-Riverside,31,9,22,.290,-8.50,-1.54,,4,12,,6,8,,3,13,,2024,2163,,1245,735,1776,.414,233,707,.330,460,663,.694,351,1195,409,209,104,432,586
44,UC-Santa Barbara,32,23,9,.719,2.10,-3.37,,11,5,,12,2,,9,6,,2425,2211,,1285,803,1863,.431,228,661,.345,377,538,.701,296,1081,443,116,81,368,567
45,University of California,32,8,24,.250,-3.40,6.05,,2,16,,5,12,,3,8,,2166,2483,,1285,852,1807,.471,282,706,.399,497,689,.721,316,1116,514,193,128,443,631
46,Campbell,34,18,16,.529,-5.68,-6.68,,10,8,,14,4,,4,11,,2581,2412,,1370,861,1933,.445,235,694,.339,455,633,.719,308,1151,425,209,92,427,574
47,Canisius,33,21,12,.636,0.44,-4.80,,15,3,,11,3,,8,8,,2519,2346,,1325,818,1825,.448,207,645,.321,503,686,.733,334,1121,386,174,84,500,571
48,Central Arkansas,35,18,17,.514,-5.83,-5.97,,10,8,,9,5,,8,11,,2819,2766,,1425,975,2183,.447,252,700,.360,564,834,.676,445,1405,500,251,107,509,688
49,Central Connecticut State,32,14,18,.438,-11.62,-7.59,,7,11,,8,4,,6,14,,2171,2300,,1305,816,1860,.439,276,758,.364,392,560,.700,319,1029,425,218,78,360,562
50,Central Florida,32,19,13,.594,4.76,3.76,,9,9,,12,4,,5,6,,2007,1975,,1285,718,1790,.401,201,608,.331,338,469,.721,321,1085,401,202,122,394,624
51,Central Michigan,36,21,15,.583,-1.39,-3.24,,7,11,,12,5,,6,9,,2835,2661,,1465,966,2173,.445,318,913,.348,411,567,.725,378,1269,490,202,130,465,652
