,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,32,16,16,.500,-9.14,-6.82,,8,10,,9,6,,6,9,,2359,2279,,71.5,98.8,.422,.374,.540,50.3,48.1,8.9,7.5,.499,19.5,28.5,.298
2,Air Force,31,12,19,.387,-4.31,1.72,,6,12,,9,7,,3,10,,2124,2244,,67.7,106.5,.328,.431,.576,51.3,57.2,8.3,10.6,.549,18.3,27.8,.234
3,Akron,32,14,18,.438,-6.82,-1.92,,6,12,,12,4,,2,10,,2296,2411,,69.0,107.9,.383,.401,.567,50.8,51.1,9.0,11.7,.532,16.2,28.0,.277
4,Alabama A&M,31,3,28,.097,-23.97,-8.04,,3,15,,2,9,,1,18,,1873,2367,,68.2,111.5,.298,.323,.562,51.8,52.2,11.2,13.8,.540,14.4,32.4,.204
5,Alabama-Birmingham,33,20,13,.606,4.90,-0.65,,10,8,,14,3,,5,6,,2536,2303,,69.4,99.7,.263,.437,.524,45.2,53.2,10.0,7.7,.498,15.9,24.6,.183
6,Alabama State,31,8,23,.258,-18.56,-8.62,,8,10,,4,8,,4,13,,2129,2437,,70.5,111.0,.466,.352,.556,52.1,51.4,9.4,9.9,.519,15.5,34.7,.319
7,Alabama NCAA,36,20,16,.556,12.34,10.64,,8,10,,12,4,,2,8,,2604,2543,,70.2,100.6,.365,.379,.514,49.7,48.7,9.4,10.5,.478,16.0,30.8,.250
8,Albany (NY),32,22,10,.688,0.02,-5.40,,10,6,,14,3,,8,7,,2375,2182,,67.3,101.3,.278,.362,.533,44.8,53.7,8.2,10.1,.506,15.2,24.3,.195
9,Alcorn State,32,11,21,.344,-18.07,-8.60,,7,11,,9,5,,2,16,,2244,2388,,70.4,105.5,.384,.410,.541,51.6,57.6,8.9,8.8,.505,16.0,31.2,.270
10,American,30,6,24,.200,-14.63,-6.16,,3,15,,4,8,,2,16,,1961,2215,,67.3,109.3,.408,.325,.582,54.9,53.1,10.3,11.9,.549,17.8,31.0,.291
11,Appalachian State,33,15,18,.455,-4.83,-2.67,,9,9,,9,4,,4,11,,2520,2448,,72.0,101.6,.361,.328,.535,47.7,47.5,9.1,9.3,.497,15.8,25.2,.260
