,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian NCAA,29,24,5,.828,6.27,-6.37,,13,2,,13,0,,5,4,,2196,1753,,72.0,105.2,.339,.367,.540,51.5,65.3,13.5,8.9,.512,16.2,31.3,.230
2,Air Force,25,5,20,.200,-12.98,0.22,,3,17,,3,8,,1,10,,1468,1798,,63.9,91.9,.309,.450,.547,40.1,59.0,11.1,8.0,.521,21.2,15.3,.214
3,Akron,23,15,8,.652,1.85,-1.96,,12,6,,9,1,,5,5,,1798,1660,,70.1,110.2,.303,.461,.555,51.7,48.6,6.9,8.9,.520,14.3,31.0,.230
4,Alabama A&M,15,6,9,.400,-18.86,-14.99,,4,9,,5,2,,1,7,,950,1008,,70.1,88.9,.318,.329,.475,49.8,47.3,7.7,9.1,.448,18.6,28.1,.199
5,Alabama-Birmingham,29,22,7,.759,5.80,-3.83,,13,5,,15,2,,6,4,,2105,1748,,68.9,105.3,.314,.272,.524,51.7,39.1,11.6,12.1,.493,13.2,29.5,.219
6,Alabama State,18,4,14,.222,-24.28,-16.95,,4,14,,3,6,,1,8,,1156,1288,,72.4,88.8,.427,.347,.476,49.1,45.7,8.4,6.1,.435,19.3,29.5,.277
7,Alabama NCAA,33,26,7,.788,19.58,10.01,,16,2,,12,1,,7,3,,2629,2313,,74.7,106.3,.288,.465,.544,51.7,50.2,11.3,10.6,.517,15.9,31.8,.204
8,Albany (NY),16,7,9,.438,-4.53,-5.22,,6,6,,4,5,,2,4,,1110,1099,,69.7,99.6,.341,.343,.541,47.9,47.3,8.8,5.1,.505,16.4,22.3,.247
9,Alcorn State,19,6,13,.316,-19.58,-10.06,,6,7,,4,3,,2,9,,1256,1437,,71.3,92.8,.340,.340,.488,47.8,40.7,10.6,5.0,.444,17.7,29.7,.247
10,American,10,4,6,.400,-6.32,-1.82,,4,5,,2,2,,2,4,,691,736,,67.5,97.5,.268,.427,.550,48.2,51.6,10.3,11.4,.526,20.1,24.1,.189
11,Appalachian State NCAA,29,17,12,.586,-5.84,-5.72,,7,8,,9,4,,4,7,,2039,1860,,66.8,103.1,.340,.437,.520,50.8,49.9,11.6,10.4,.478,14.9,29.8,.252
12,Arizona State,25,11,14,.440,7.48,10.24,,7,10,,7,6,,2,6,,1858,1927,,72.6,101.4,.333,.354,.530,44.6,49.8,9.9,8.8,.492,13.5,21.1,.242
13,Arizona,26,17,9,.654,15.02,8.18,,11,9,,12,4,,5,5,,1961,1783,,68.4,109.2,.418,.314,.548,55.1,60.4,8.5,11.2,.505,14.7,34.0,.304
14,Little Rock,26,11,15,.423,-6.36,-5.40,,7,11,,7,4,,2,8,,1786,1782,,67.9,100.2,.369,.337,.542,52.3,55.5,9.3,9.6,.508,19.2,31.1,.259
15,Arkansas-Pine Bluff,25,4,21,.160,-22.67,-7.79,,3,12,,2,3,,2,17,,1549,1921,,69.5,88.2,.386,.295,.483,46.7,45.8,9.1,9.9,.432,19.7,26.7,.279
16,Arkansas State,24,11,13,.458,-7.97,-5.87,,7,8,,9,3,,1,9,,1741,1667,,69.3,104.1,.344,.289,.538,52.5,55.9,9.4,7.1,.502,16.2,31.9,.248
