,index,date,winning_name,losing_name,winner,location,home_points,home_field_goals,home_field_goal_attempts,home_three_point_field_goals,home_three_point_field_goal_attempts,home_free_throws,home_free_throw_attempts,home_offensive_rebounds,home_defensive_rebounds,home_assists,home_turnovers,home_steals,home_blocks,home_personal_fouls,away_points,away_field_goals,away_field_goal_attempts,away_three_point_field_goals,away_three_point_field_goal_attempts,away_free_throws,away_free_throw_attempts,away_offensive_rebounds,away_defensive_rebounds,away_assists,away_turnovers,away_steals,away_blocks,away_personal_fouls
0,2021-11-09-21-gonzaga,"November 9, 2021",Gonzaga,Dixie State,Home,"McCarthey Athletic Center, Spokane, Washington",97,37,68,6,21,17,24,14,30,23,15,10,9,18,63,23,65,8,22,9,21,13,19,12,20,5,1,22
1,2021-11-09-23-ucla,"November 9, 2021",UCLA,Cal State Bakersfield,Home,"Pauley Pavilion, Los Angeles, California",95,31,62,13,27,20,26,5,34,13,11,7,8,12,58,24,64,7,17,3,8,5,26,11,13,8,2,21
2,2021-11-09-19-michigan-state,"November 9, 2021",Kansas,Michigan State,Away,"Madison Square Garden (IV), New York, New York",87,31,64,6,17,19,24,7,22,13,8,8,4,20,74,29,63,7,20,9,16,8,27,12,16,5,3,18
3,2021-11-09-16-villanova,"November 9, 2021",Villanova,Mount St. Mary's,Home,"Finneran Pavilion, Villanova, Pennsylvania",91,31,56,16,30,13,14,5,18,21,5,13,2,15,51,21,47,3,12,6,8,7,18,16,18,2,2,15
4,2021-11-09-21-texas,"November 9, 2021",Texas,Houston Baptist,Home,"Frank Erwin Center, Austin, Texas",92,32,50,13,22,15,22,7,24,21,11,10,5,19,48,16,49,6,17,10,22,13,14,6,14,8,0,21
5,2021-11-09-19-purdue,"November 9, 2021",Purdue,Bellarmine,Home,"Mackey Arena, West Lafayette, Indiana",96,28,56,16,36,24,29,13,27,21,12,7,3,13,67,24,59,12,35,7,8,7,12,15,10,5,1,20
6,2021-11-09-21-duke,"November 9, 2021",Duke,Kentucky,Home,"Madison Square Garden (IV), New York, New York",79,31,60,1,12,16,23,6,25,8,9,9,5,15,71,29,77,7,18,6,7,16,22,15,13,4,3,20
7,2021-11-09-20-illinois,"November 9, 2021",Illinois,Jackson State,Home,"State Farm Center, Champaign, Illinois",71,24,55,9,21,14,21,15,28,16,18,12,4,14,47,19,51,7,16,2,5,5,19,7,19,11,4,22
8,2021-11-09-20-memphis,"November 9, 2021",Memphis,Tennessee Tech,Home,"FedExForum, Memphis, Tennessee",89,35,59,13,26,6,11,10,20,21,17,10,11,16,65,24,62,6,22,11,14,7,15,14,14,10,2,13
9,2021-11-09-19-oregon,"November 9, 2021",Oregon,Texas Southern,Home,"Matthew Knight Arena, Eugene, Oregon",83,26,65,12,36,19,21,16,18,15,8,8,3,18,66,24,52,5,16,13,17,11,19,7,16,4,2,22
10,2021-11-09-21-alabama,"November 9, 2021",Alabama,Louisiana Tech,Home,"Coleman Coliseum , Tuscaloosa, Alabama",93,32,64,13,33,16,21,14,34,19,13,9,2,19,64,26,67,6,26,6,19,14,20,11,10,3,1,18
11,2021-11-09-20-houston,"November 9, 2021",Houston,Hofstra,Home,"Hofheinz Pavilion, Houston, Texas",83,29,65,10,24,15,25,17,29,15,10,4,3,13,75,29,74,12,43,5,5,13,25,13,11,6,3,20
12,2021-11-09-20-arkansas,"November 9, 2021",Arkansas,Mercer,Home,"Bud Walton Arena, Fayetteville, Arkansas",74,26,55,6,21,16,22,10,23,13,15,12,2,6,61,23,51,13,31,2,6,3,16,17,17,7,2,16
13,2021-11-09-18-ohio-state,"November 9, 2021",Ohio State,Akron,Home,"Value City Arena, Columbus, Ohio",67,26,60,4,14,11,16,16,19,11,9,5,5,15,66,25,58,7,22,9,12,10,19,5,11,4,2,19
